collaborations,壊れたもの,Objects,"[KAHM-bx1] コップ,ディスプレイ部品,スマホマジックリング,ドアノブ,泥団子,壁, 2019",
collaborations,書道と陶芸,記録,"[KAHM-bx1] by JP,VD,お客さん二名,あくちゃん,pal,あっち,まろ,かおちょ, 2019",
collaborations,Friendly Form Shop Osaka Branch,Form,"[KAHM-bx1] by Ｎｉｃｋ,Ｄａｖｉｄ,pal,まろ,かおちょ, 2019",
gift,scent,Sticker,"[KAHM-bx2-f.g] by Josefina Valdés, 2019",
collaborations,銃を作ろう,Wood,"[KAHM-bx1] by Emilio Algo,お客さん, 2019",
collaborations,レジデンス to EditionNord,Document,"[KAHM-bx2] 2019",
collaborations,"K PARTY","Flyer/Sticker","[KAHM] チラシ1種, ステッカー5種",
bought,誕生日占い,Fortune,"[KAHM-bx1] 1月11日/1月22日/3月21日/6月3日/8月11日/12月23日, 2019",
made,"カッティングシール","Sticker","[UR-4.5-WW] Map x2, infomation x1, ichoose x3, Now Playing,　月　日x5, 2019",
made,”大 chotto crazy 2020”,Stamp,"[KAHM-bx2] はんこ 3種(大/chotto crazy/2020), 2022",
collaborations,”大 chotto crazy 2020”,Artwork/Website,"[KAHM-bx2] 光るねんど(こす),書道(芝浴),やすり(石を磨きたい),ハンカチ(藍染),透明紙イラスト(重ね合わせ),カセットテープ(暗闇でお喋り録音記録),その他メモ",
collaborations,"サイン（非公式）",Artwork/Website,"[KAHM-bx2] for ヤバめの金属バット工場 | laugh&peace art gallery osaka, 2020 | ヨシモト∞ドーム・ステージⅡ, 2021:,
collaborations,a daily basis (DIARY),Transparent Vinyl Sheet,"[KAHM-bx2] 森、道、市場 (2022)",
