work,7.1.2021 大 chotto crazy 2021 公式ウェブサイト 開設,
show,3.29.2020 - 5.15.2020 大 chotto crazy 2020 公募 開始,
etc,9.27.2020 - 1.31.2021 公募で集まった120の実現したいこと より選考した 20の実現したいこと を実現,
etc,11.1.2020 (Sun) 音ビルにて こす 開催,
etc,1.30 (Sat) YouTube Live にて 大大大 chotto crazy 2020 MAX LIVE 開催,
etc,1.16.2021 - 1.31.2021 大大大 chotto crazy 2020 MAX 開催,
show,1.16.2021 - 3.31 大 chotto crazy 2021 公募 開始,
etc,2.8.2021 大 chotto crazy 2020 公式作品集 「大 chotto crazy 2020のすべて」「メモリーゲーム」 発表,
etc,2.14.2021 大 chotto crazy 2020 公式 Tee & Tote 発売開始,
etc,"2.27.2021 大大大 chotto crazy 2020 MAX 記録作品「Yes, yes, sure! You get up don't stop」発表",
etc,4.3.2021 (Sat) 音ビル にて 音の出るものをいっぱい並べる音楽会 こゝろ 開催,
show,4.1.2021 - 5.15.2021 大 chotto crazy 2021 再公募 開始,http://chottocrazy.pe.hu,
etc,7.1.2021 大 chotto crazy 2021 公式ウェブサイト 開設
